iata,city,secondary
HAE,Havasupai,AZ - United States
HVR,Havre,MT - United States
HDN,Hayden,CO - United States
HYS,Hays,KS - United States
HKB,Healy Lake,AK - United States
HLN,Helena,MT - United States
AVL,Hendersonville,NC - United States
HIB,Hibbing/Chisholm,MN - United States
HKY,Hickory,NC - United States
GSO,High Point,NC - United States
ITO,Hilo,HI - United States
HHH,Hilton Head,SC - United States
HBB,Hobbs,NM - United States
HYL,Hollis,AK - United States
HCR,Holy Cross,AK - United States
HOM,Homer,AK - United States
HNL,Honolulu,HI - United States
MKK,Hoolehua,HI - United States
HNH,Hoonah,AK - United States
HPB,Hooper Bay,AK - United States
HOT,Hot Springs,AR - United States
HOU,Houston,TX - United States
HOU,Houston,TX - United States
IAH,Houston,TX - United States
HUS,Hughes,AK - United States
HTS,Huntington,WV - United States
HSV,Huntsville,AL - United States
HON,Huron,SD - United States
HSL,Huslia,AK - United States
HYA,Hyannis,MA - United States
HYG,Hydaburg,AK - United States
IDA,Idaho Falls,ID - United States
IGG,Igiugig,AK - United States
ILI,Iliamna,AK - United States
IPL,Imperial,CA - United States
IND,Indianapolis,IN - United States
INL,International Falls,MN - United States
IYK,Inyokern,CA - United States
IMT,Iron Mountain,MI - United States
IWD,Ironwood,MI - United States
ISP,Islip,NY - United States
ITH,Ithaca,NY - United States
JAC,Jackson Hole,WY - United States
JAN,Jackson,MS - United States
MKL,Jackson,TN - United States
JAX,Jacksonville,FL - United States
OAJ,Jacksonville,NC - United States
JMS,Jamestown,ND - United States
JHW,Jamestown,NY - United States
JVL,Janesville,WI - United States
BGM,Johnson City,NY - United States
TRI,Johnson City,TN - United States
JST,Johnstown,PA - United States
JBR,Jonesboro,AR - United States
JLN,Joplin,MO - United States
JNU,Juneau,AK - United States
OGG,Kahului,HI - United States
KAE,Kake,AK - United States
KNK,Kakhonak,AK - United States
AZO,Kalamazoo,MI - United States
LUP,Kalaupapa,HI - United States
KLG,Kalskag,AK - United States
KAL,Kaltag,AK - United States
MUE,Kamuela,HI - United States
MCI,Kansas City,MO - United States
JHM,Kapalua,HI - United States
KXA,Kasaan,AK - United States
KUK,Kasigluk,AK - United States
LIH,Kauai Island/Lihue,HI - United States
EAR,Kearney,NE - United States
EEN,Keene,NH - United States
ENA,Kenai,AK - United States
KTN,Ketchikan,AK - United States
EYW,Key West,FL - United States
QKS,Keystone,CO - United States
IAN,Kiana,AK - United States
GGG,Kilgore/Gladewater,TX - United States
ILE,Killeen,TX - United States
KVC,King Cove,AK - United States
AKN,King Salmon,AK - United States
IGM,Kingman,AZ - United States
TRI,Kingsport,TN - United States
KPN,Kipnuk,AK - United States
IRK,Kirksville,MO - United States
KVL,Kivalina,AK - United States
LMT,Klamath Falls,OR - United States
KLW,Klawock,AK - United States
TYS,Knoxville,TN - United States
OBU,Kobuk,AK - United States
ADQ,Kodiak,AK - United States
KOA,Kona,HI - United States
KKH,Kongiganak,AK - United States
KOT,Kotlik,AK - United States
OTZ,Kotzebue,AK - United States
KYU,Koyukuk,AK - United States
KWT,Kwethluk,AK - United States
KWK,Kwigillingok,AK - United States
LSE,La Crosse,WI - United States
LAF,Lafayette,IN - United States
LFT,Lafayette,LA - United States
LCH,Lake Charles,LA - United States
HII,Lake Havasu City,AZ - United States
LMA,Lake Minchumina,AK - United States
LNY,Lanai City,HI - United States
LNS,Lancaster,PA - United States
LAN,Lansing,MI - United States
LAR,Laramie,WY - United States
LRD,Laredo,TX - United States
LAS,Las Vegas,NV - United States
LBE,Latrobe,PA - United States
PIB,Laurel,MS - United States
LAW,Lawton,OK - United States
LEB,Lebanon,NH - United States
KLL,Levelock,AK - United States
LWB,Lewisburg,WV - United States
LWS,Lewiston,ID - United States
LWT,Lewistown,MT - United States
LEX,Lexington,KY - United States
LBL,Liberal,KS - United States
LIH,Lihue,HI - United States
LNK,Lincoln,NE - United States
LIT,Little Rock,AR - United States
LGB,Long Beach,CA - United States
GGG,Longview,TX - United States
LPS,Lopez Island,WA - United States
LAX,Los Angeles,CA - United States
SDF,Louisville,KY - United States
NL),Loveland/Fort Collins,CO - United States
QWF,Loveland/Fort Collins,CO - United States
LBB,Lubbock,TX - United States
MCN,Macon,GA - United States
MSN,Madison,WI - United States
MDJ,Madras,OR - United States
MHT,Manchester,NH - United States
MHK,Manhattan,KS - United States
MBL,Manistee,MI - United States
MKT,Mankato,MN - United States
MLY,Manley Hot Springs,AK - United States
KMO,Manokotak,AK - United States
PKB,Marietta,OH - United States
MWA,Marion,IL - United States
MQT,Marquette,MI - United States
MLL,Marshall,AK - United States
MVY,Martha's Vineyard,MA - United States
AOO,Martinsburg,PA - United States
MCW,Mason City,IA - United States
MSS,Massena,NY - United States
OGG,Maui,HI - United States
MFE,Mcallen,TX - United States
MCK,Mccook,NE - United States
MCG,Mcgrath,AK - United States
MFR,Medford,OR - United States
MYU,Mekoryuk,AK - United States
MLB,Melbourne,FL - United States
MEM,Memphis,TN - United States
MCE,Merced,CA - United States
MEI,Meridian,MS - United States
MTM,Metlakatla,AK - United States
WMK,Meyers Chuck,AK - United States
MIA,Miami,FL - United States
MPB,Miami,FL - United States
MBS,Midland,MI - United States
MAF,Midland/Odessa,TX - United States
MLS,Miles City,MT - United States
MKE,Milwaukee,WI - United States
MSP,Minneapolis,MN - United States
MOT,Minot,ND - United States
MNT,Minto,AK - United States
MFE,Mission,TX - United States
MSO,Missoula,MT - United States
CNY,Moab,UT - United States
MOB,Mobile,AL - United States
MOD,Modesto,CA - United States
MLI,Moline,IL - United States
MLU,Monroe,LA - United States
MRY,Monterey,CA - United States
MGM,Montgomery,AL - United States
MTJ,Montrose,CO - United States
MGW,Morgantown,WV - United States
MWH,Moses Lake,WA - United States
WMH,Mountain Home,AR - United States
MOU,Mountain Village,AK - United States
MSL,Muscle Shoals,AL - United States
MKG,Muskegon,MI - United States
MYR,Myrtle Beach,SC - United States
ACK,Nantucket,MA - United States
WNA,Napakiak,AK - United States
PKA,Napaskiak,AK - United States
APF,Naples,FL - United States
BNA,Nashville,TN - United States
NKI,Naukiti,AK - United States
NLG,Nelson Lagoon,AK - United States
NCN,New Chenega,AK - United States
HVN,New Haven,CT - United States
KGK,New Koliganek,AK - United States
GON,New London,CT - United States
MSY,New Orleans,LA - United States
KNW,New Stuyahok,AK - United States
NYC,New York,NY - United States
JFK,New York,NY - United States
LGA,New York,NY - United States
EWR,Newark,NJ - United States
SWF,Newburgh/Stewart Field,NY - United States
PHF,Newport News,VA - United States
WWT,Newtok,AK - United States
NME,Nightmute,AK - United States
NIB,Nikolai,AK - United States
IKO,Nikolski,AK - United States
WTK,Noatak,AK - United States
OME,Nome,AK - United States
NNL,Nondalton,AK - United States
ORV,Noorvik,AK - United States
OFK,Norfolk,NE - United States
ORF,Norfolk,VA - United States
OTH,North Bend,OR - United States
LBF,North Platte,NE - United States
ORT,Northway,AK - United States
NUI,Nuiqsut,AK - United States
NUL,Nulato,AK - United States
NUP,Nunapitchuk,AK - United States
OAK,Oakland,CA - United States
MAF,Odessa/Midland,TX - United States
OGS,Ogdensburg,NY - United States
OKC,Oklahoma City,OK - United States
OMA,Omaha,NE - United States
ONT,Ontario,CA - United States
SNA,Orange County,CA - United States
ORL,Orlando,FL - United States
MCO,Orlando,FL - United States
OSH,Oshkosh,WI - United States
OTM,Ottumwa,IA - United States
OWB,Owensboro,KY - United States
OXR,Oxnard/Ventura,CA - United States
PAH,Paducah,KY - United States
PGA,Page,AZ - United States
PSP,Palm Springs,CA - United States
PFN,Panama City,FL - United States
PKB,Parkersburg,WV - United States
PSC,Pasco,WA - United States
PDB,Pedro Bay,AK - United States
PEC,Pelican,AK - United States
PLN,Pellston,MI - United States
PDT,Pendleton,OR - United States
PNS,Pensacola,FL - United States
PIA,Peoria,IL - United States
KPV,Perryville,AK - United States
PSG,Petersburg,AK - United States
PHL,Philadelphia,PA - United States
TTN,Philadelphia,PA - United States
PHX,Phoenix,AZ - United States
PIR,Pierre,SD - United States
UGB,Pilot Point,AK - United States
PIP,Pilot Point,AK - United States
PQS,Pilot Station,AK - United States
PIT,Pittsburgh,PA - United States
PTU,Platinum,AK - United States
PLB,Plattsburgh,NY - United States
PIH,Pocatello,ID - United States
KPB,Point Baker,AK - United States
PHO,Point Hope,AK - United States
PIZ,Point Lay,AK - United States
PNC,Ponca City,OK - United States
PSE,Ponce,Pu - United States
PTA,Port Alsworth,AK - United States
CLM,Port Angeles,WA - United States
BPT,Port Arthur/Beaumont,TX - United States
KPC,Port Clarence,AK - United States
PTH,Port Heiden,AK - United States
PML,Port Moller,AK - United States
PPV,Port Protection,AK - United States
PCA,Portage Creek,AK - United States
PWM,Portland,ME - United States
PDX,Portland,OR - United States
PSM,Portsmouth,NH - United States
POU,Poughkeepsie,NY - United States
PRC,Prescott,AZ - United States
PQI,Presque Isle,ME - United States
BLF,Princeton,WV - United States
PVD,Providence,RI - United States
